Test Metadata
Name,Felix
Hand Span (cm),22
Done Before,Yes
Carousel Position,top
Holding Hand,right
Using Hands,one
Thumb Rest X,322.93
Thumb Rest Y,643.13
Device Model,K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Mobile Safari/537.36
Screen Width,448
Screen Height,998
Pixel Ratio,3

User Comments
2 column feels slow 

ID,Type,Timestamp,Carousel,Velocity,Distance,Duration,Peak Velocity,Avg Velocity,Peak/Avg Ratio,Acceleration,Avg Jerk,Max Jerk,Initial Velocity,Peak Acceleration,Velocity Variance,Velocity CV,Distance/Duration Ratio,Straightness %,Pause Before Release,Y Movement,Touch Pressure Avg,Touch Pressure Max,Touch Pressure Variance,Trajectory Length,Path Directness,Curvature Score,Inflection Points,Device Motion X,Device Motion Y,Device Motion Z,Device Motion Variance,Is Retry,Time Since Last Gesture,Is Outlier,Outlier Reasons
56,glide,2025-11-04T20:36:50.291Z,1-column,2248.17,236.23,117,714.17,403.42,1.77,9.55,0.06,0.13,31.75,9.55,53831.80,0.58,2.02,99.86,0.00,12.40,0.0000,0.0000,0.0000,236.58,0.9985,0.0357,0,0.0000,0.0000,0.0000,0.0000,Yes,638,Yes,velocity
57,glide,2025-11-04T20:36:50.924Z,1-column,648.09,183.73,100,563.47,313.24,1.80,6.68,0.04,0.08,77.25,6.68,29105.80,0.54,1.84,99.84,0.00,10.27,0.0000,0.0000,0.0000,183.88,0.9992,0.0234,0,0.0000,0.0000,0.0000,0.0000,Yes,632,No,none
58,glide,2025-11-04T20:36:51.573Z,1-column,534.68,167.30,101,489.98,285.81,1.71,5.82,0.03,0.06,63.93,5.82,23114.16,0.53,1.66,99.99,0.00,1.93,0.0000,0.0000,0.0000,167.32,0.9999,0.0069,0,0.0000,0.0000,0.0000,0.0000,Yes,650,No,none
59,glide,2025-11-04T20:36:52.173Z,1-column,585.33,157.23,84,492.80,304.06,1.62,6.21,0.02,0.02,116.27,6.21,19845.43,0.46,1.87,99.75,0.00,11.17,0.0000,0.0000,0.0000,158.07,0.9947,1.6293,0,0.0000,0.0000,0.0000,0.0000,Yes,600,No,none
60,glide,2025-11-04T20:36:52.739Z,1-column,1020.30,221.10,100,915.50,600.61,1.52,9.63,0.10,0.15,268.32,9.63,51266.92,0.38,2.21,99.23,0.00,27.63,0.0000,0.0000,0.0000,221.91,0.9963,0.0427,0,0.0000,0.0000,0.0000,0.0000,Yes,566,No,none
61,glide,2025-11-04T20:36:53.323Z,1-column,818.50,216.73,118,747.83,461.44,1.62,10.20,0.07,0.16,88.98,10.20,50052.43,0.48,1.84,99.79,0.00,14.03,0.0000,0.0000,0.0000,217.24,0.9977,0.0208,0,0.0000,0.0000,0.0000,0.0000,Yes,584,No,none
62,glide,2025-11-04T20:36:54.005Z,1-column,697.75,232.70,116,664.35,456.88,1.45,5.66,0.04,0.12,207.42,5.66,25748.63,0.35,2.01,99.62,0.00,20.30,0.0000,0.0000,0.0000,232.99,0.9987,0.0289,0,0.0000,0.0000,0.0000,0.0000,Yes,681,No,none
63,glide,2025-11-04T20:36:54.471Z,1-column,1240.05,172.03,83,1179.07,846.43,1.39,12.81,0.12,0.19,485.84,12.81,69103.48,0.31,2.07,99.21,0.00,21.73,0.0000,0.0000,0.0000,173.22,0.9932,0.0751,0,0.0000,0.0000,0.0000,0.0000,Yes,467,No,none
64,glide,2025-11-04T20:36:54.988Z,1-column,728.10,143.40,84,658.10,367.26,1.79,11.10,0.06,0.11,54.08,11.10,49902.78,0.61,1.71,99.99,0.00,2.33,0.0000,0.0000,0.0000,144.19,0.9945,1.6307,0,0.0000,0.0000,0.0000,0.0000,Yes,517,No,none
65,glide,2025-11-04T20:36:56.137Z,2-column,1471.78,160.57,117,185.64,96.13,1.93,2.11,0.01,0.03,18.30,2.11,3394.13,0.61,1.37,98.70,0.00,26.10,0.0000,0.0000,0.0000,163.15,0.9842,0.0459,0,0.0000,0.0000,0.0000,0.0000,No,25133,No,none
66,glide,2025-11-04T20:36:56.736Z,2-column,476.99,127.50,66,414.26,295.30,1.40,5.60,0.03,0.03,180.67,5.60,9103.55,0.32,1.93,99.58,0.00,11.70,0.0000,0.0000,0.0000,128.16,0.9949,0.0640,0,0.0000,0.0000,0.0000,0.0000,Yes,599,No,none
67,glide,2025-11-04T20:36:57.319Z,2-column,562.57,146.33,100,475.99,259.84,1.83,6.43,0.02,0.06,30.38,6.43,24290.45,0.60,1.46,99.52,0.00,14.33,0.0000,0.0000,0.0000,147.25,0.9938,1.2992,0,0.0000,0.0000,0.0000,0.0000,Yes,583,No,none
68,glide,2025-11-04T20:36:58.036Z,2-column,2051.69,246.07,133,558.01,292.31,1.91,5.58,0.02,0.05,12.98,5.58,32089.92,0.61,1.85,98.81,0.00,38.37,0.0000,0.0000,0.0000,248.54,0.9901,0.0643,0,0.0000,0.0000,0.0000,0.0000,Yes,717,Yes,velocity
69,glide,2025-11-04T20:36:58.735Z,2-column,2092.06,238.87,116,560.38,329.99,1.70,5.39,0.02,0.05,108.78,5.39,23240.94,0.46,2.06,99.24,0.00,29.57,0.0000,0.0000,0.0000,240.10,0.9949,0.0779,0,0.0000,0.0000,0.0000,0.0000,Yes,699,Yes,velocity
70,glide,2025-11-04T20:36:59.469Z,2-column,2086.65,238.27,117,500.96,299.64,1.67,5.80,0.05,0.09,74.53,5.80,19875.62,0.47,2.04,99.28,0.00,28.73,0.0000,0.0000,0.0000,239.24,0.9959,0.0569,0,0.0000,0.0000,0.0000,0.0000,Yes,734,Yes,velocity
71,glide,2025-11-04T20:37:00.203Z,2-column,430.78,181.90,101,357.97,203.16,1.76,5.10,0.03,0.06,28.49,5.10,13323.50,0.57,1.80,99.29,0.00,21.83,0.0000,0.0000,0.0000,189.63,0.9592,0.2511,0,0.0000,0.0000,0.0000,0.0000,Yes,733,No,none
72,glide,2025-11-04T20:37:00.685Z,2-column,1266.72,176.03,83,1159.22,807.02,1.44,12.23,0.06,0.07,482.60,12.23,63738.21,0.31,2.12,99.94,0.00,5.87,0.0000,0.0000,0.0000,176.80,0.9957,1.5586,0,0.0000,0.0000,0.0000,0.0000,Yes,483,No,none
73,glide,2025-11-04T20:37:01.417Z,2-column,457.23,183.73,99,389.96,214.44,1.82,5.21,0.05,0.09,41.17,5.21,14463.28,0.56,1.86,99.94,0.00,6.60,0.0000,0.0000,0.0000,185.47,0.9906,1.3318,0,0.0000,0.0000,0.0000,0.0000,Yes,732,No,none
74,glide,2025-11-04T20:37:02.201Z,2-column,391.22,176.83,100,357.50,181.94,1.96,5.60,0.07,0.12,13.29,5.60,13682.02,0.64,1.77,99.93,0.00,6.70,0.0000,0.0000,0.0000,177.78,0.9947,1.2752,0,0.0000,0.0000,0.0000,0.0000,Yes,783,No,none
75,glide,2025-11-04T20:37:02.950Z,2-column,385.06,173.07,84,307.08,171.47,1.79,4.80,0.03,0.05,45.84,4.80,9344.52,0.56,2.06,99.76,0.00,12.00,0.0000,0.0000,0.0000,173.80,0.9958,0.0847,0,0.0000,0.0000,0.0000,0.0000,Yes,750,No,none
76,glide,2025-11-04T20:37:03.717Z,2-column,364.53,158.13,83,329.89,205.01,1.61,4.38,0.03,0.05,94.34,4.38,7828.06,0.43,1.91,99.52,0.00,15.53,0.0000,0.0000,0.0000,163.75,0.9657,0.2589,0,0.0000,0.0000,0.0000,0.0000,Yes,767,No,none
77,glide,2025-11-04T20:37:04.282Z,2-column,911.17,231.67,83,739.90,501.52,1.48,8.14,0.04,0.05,260.02,8.14,31535.57,0.35,2.79,99.02,0.00,32.70,0.0000,0.0000,0.0000,232.07,0.9983,0.0661,0,0.0000,0.0000,0.0000,0.0000,Yes,565,No,none
78,glide,2025-11-04T20:37:04.983Z,2-column,612.12,224.83,99,584.00,360.50,1.62,6.04,0.03,0.04,138.78,6.04,24852.17,0.44,2.27,99.34,0.00,25.90,0.0000,0.0000,0.0000,225.47,0.9972,0.0267,0,0.0000,0.0000,0.0000,0.0000,Yes,700,No,none
79,glide,2025-11-04T20:37:05.615Z,2-column,799.20,244.67,115,730.18,418.13,1.75,8.63,0.17,0.20,79.97,8.63,47925.82,0.52,2.13,99.07,0.00,33.53,0.0000,0.0000,0.0000,245.85,0.9952,0.0615,0,0.0000,0.0000,0.0000,0.0000,Yes,633,No,none
